Words,Label
a. merritt metal monster prologue narrative follows placed hands never seen dr. walter t. goodwin author,NT
manuscript revealing adventures among pre-historic ruins nan-matal carolines moon pool given international association science editing revision meet requirements popular presentation dr. goodwin left america,S
explained still shaken depressed able recall experiences must inevitably carry freshened memories loved well felt separated probability forever,NT
understood gone remote part asia pursue certain botanical studies therefore liveliest surprise interest received summons president association meet dr. goodwin designated place hour,NT
close study moon pool papers formed mental image writer,S
read volumes botanical research set high american scientists field gleaning curious mingling extremely technical observations minutely accurate extraordinarily poetic descriptions hints amplify picture,S
gratified find drawn pretty good one,NT
man president association introduced sturdy well-knit little average height,NT
broad rather low forehead reminded somewhat late electrical wizard steinmetz,NT
level black brows shone eyes clear hazel kindly shrewd little wistful lightly humorous eyes doer dreamer,NT
forty judged,NT
close-trimmed pointed beard hide firm chin clean-cut mouth,NT
hair thick black oddly sprinkled white small streaks dots gleaming silver shone curiously metallic luster,NT
right arm closely bound breast,NT
manner greeted tinged shyness,NT
extended left hand greeting clasped fingers struck peculiar pronounced yet pleasant warmth sensation indeed curiously electric,NT
association president forced gently back chair,NT
dr. goodwin turning entirely recovered yet certain consequences adventures,NT
explain later,NT
meantime mr. merritt read,NT
took sheets handed read felt gaze dr. goodwin full searching weighing estimating,NT
raised eyes letter found new expression,NT
shyness gone filled complete friendliness,NT
evidently passed muster,NT
accept sir,NT
president gravely courteous tone,NT
accept,NT
exclaimed,NT
course accept,NT
one greatest honors one greatest delights act collaborator dr,NT
goodwin,NT
president smiled,NT
case sir need remain longer,NT
dr. goodwin manuscript far progressed,NT
leave two alone discussion,NT
bowed picking old-fashioned bell-crowned silk hat quaint heavy cane ebony withdrew,NT
dr. goodwin turned,NT
start little pause met richard drake field blue poppies great prayer-rug gray feet nameless mountain,NT
sun sank shadows fell lights city sparkled hours new york roared unheeded listened tale utterly weird stupendous drama unknown life unknown creatures unknown forces unconquerable human heroism played among hidden gorges unknown asia,NT
dawn left home,NT
many hours laid incomplete manuscript sought sleep found troubled sleep,NT
a. merritt chapter valley blue poppies great crucible life call world vaster one call universe mysteries lie close packed uncountable grains sand ocean shores,NT
thread gigantic star-flung spaces creep atomic beneath microscope peering eye,S
walk beside unseen unheard calling asking deaf crying blind wonder,NT
sometimes veils drop man eyes sees speaks vision,NT
seen pass lifted brows disbelief mock vision great enough fall destroy,NT
greater mystery bitterly verity assailed seem lesser man may give testimony least gain hearing,NT
reason,NT
life ferment shifting changing adding taking away beat legions forces seen unseen known unknown,NT
man atom ferment clings desperately seems stable greets joy hazards grips may broken staff saying fails hold forth sturdier one,S
earth ship plowing way uncharted oceans space wherein strange currents hidden shoals reefs blow unknown winds cosmos,S
voyagers painfully plotting course comes one cries charts must remade tell must man welcome,NT
therefore men grown chary giving testimony mysteries,S
yet knowing heart truth vision beheld lo whose reality believes,NT
spot encamped singular beauty beautiful caught throat set ache breast tranquillity distilled healing mist,NT
since early march wandering,NT
mid-july,NT
first time since pilgrimage begun drank forgetfulness never anodyne sorrow held fast since return carolines year,NT
need dwell written,NT
shall recite reasons restlessness known read history mine,NT
cause set forth length steps arrived vale peace,NT
sufficient tell new york one night reading perhaps sensational books poppies primulas southern tibet result travels 1910-1911 determined return quiet forbidden land,NT
anywhere might find something akin forgetting,NT
certain flower long wished study mutations singular forms appearing southern slopes elburz persia mountainous chain extends azerbaijan west khorasan east thence would follow modified types hindu-kush ranges migrations along southern scarps trans-himalayas unexplored upheaval higher himalayas deeply cut precipice gorge sven hedin touched named journey lhasa,NT
accomplished planned push across passes manasarowar lakes legend strange luminous purple lotuses grow,NT
ambitious project undeniably fraught danger written desperate diseases require desperate remedies inspiration message rejoin loved dearly nothing less felt dull heartache,NT
frankly feeling inspiration message come much care end,NT
teheran picked unusual servant yes companion counselor interpreter well,NT
chinese name chiu-ming,NT
first thirty years spent great lamasery palkhor-choinde gyantse west lhasa,NT
gone come teheran never asked,NT
fortunate gone found,NT
recommended best cook ten thousand miles pekin,NT
almost three months journeyed chiu-ming two ponies carried impedimenta,NT
traversed mountain roads echoed marching feet hosts darius hordes satraps,NT
highways achaemenids yes trembled tramplings myriads godlike dravidian conquerors,NT
slipped ancient iranian trails paths warriors conquering alexander traversed dust bones macedons greeks romans beat ashes flaming ambitions sassanidae whimpered beneath feet feet american botanist chinaman two tibetan ponies,NT
crept clefts whose walls sent back howlings ephthalites white huns sapped strength proud sassanids last fell turks,NT
highways byways persia glory persia's shame persia death four two men two beasts passed,NT
fortnight met human soul seen sign human habitation,NT
game plentiful green things chiu-ming might lack cooking meat never,NT
welter mighty summits,NT
knew somewhere blending hindu-kush trans-himalayas,NT
morning come ragged defile valley enchantment early pitched tent determining go farther till morrow,NT
phocean vale gigantic cup filled tranquillity,NT
spirit brooded serene majestic immutable untroubled calm rests burmese believe every place guarded buddha sleeping,NT
eastern end towered colossal scarp unnamed peak one whose gorges crept,NT
head cap silver set pale emeralds snow fields glaciers crowned,NT
far west another gray ochreous giant reared bulk closing vale,NT
north south horizon chaotic sky land pinnacles spired minareted steepled turreted domed diademed green argent eternal ice snow,NT
