,File,Keywords,Label,Sentence
0,Piper_TheAnswer,screen waken lee richardson breathless dream memory,S, The Answer For a moment after the screen door snapped and wakened him Lee Richardson sat breathless and motionless his eyes still closed trying desperately to cling to the dream and print it upon his conscious memory before it faded.
1,Piper_TheAnswer,lee alexis pitov,NT,Are you there Lee he heard Alexis Pitov s voice.
2,Piper_TheAnswer,dream,NT,I was dreaming.
3,Piper_TheAnswer,slim blonde dachshund lawn,NT,He could still see the slim woman with the graying blonde hair playing with the little dachshund among the new fallen leaves on the lawn.
4,Piper_TheAnswer,dream dream,NT,He was glad they d both been in this dream together these dream glimpses were all he d had for the last fifteen years and they were too precious to lose.
5,Piper_TheAnswer,russian bungalow cigarette,NT,The Russian was sitting just outside the light from the open door of the bungalow lighting a cigarette.
6,Piper_TheAnswer,blocky pouch coal glowing,NT,For a moment he could see the blocky high cheeked face now pouched and wrinkled and then the flame went out and there was only the red coal glowing in the darkness.
7,Piper_TheAnswer,dream dog,NT,He closed his eyes again and the dream picture came back to him the woman catching the little dog and raising her head as though to speak to him.
8,Piper_TheAnswer,pitov german spanish,NT,Pitov was speaking German instead of Spanish as they always did between themselves.
9,Piper_TheAnswer,minus,NT,They re still counting down from minus three hours.
10,Piper_TheAnswer,phone launching jeep,NT,I just phoned the launching site for a jeep.
11,Piper_TheAnswer,eugenio litter kitten,NT,Eugenio s been there ever since dinner they say he s running around like a cat looking for a place to have her first litter of kittens.
12,Piper_TheAnswer,eugenio galvez thankful,NT,This would be something new for Eugenio Galvez for which he could be thankful.
13,Piper_TheAnswer,generator bug,S,I hope the generators don t develop any last second bugs he said.
14,Piper_TheAnswer,fifty kilo negamatter collapse,NT,We ll only be a mile and a half away and that ll be too close to fifty kilos of negamatter if the field collapses.
15,Piper_TheAnswer,pitov,NT,It ll be all right Pitov assured him.
16,Piper_TheAnswer,bug,NT,The bugs have all been chased out years ago.
17,Piper_TheAnswer,generator rocket,S,Not out of those generators in the rocket.
18,Piper_TheAnswer,fumble pipe tobacco,NT,He fumbled in his coat pocket for his pipe and tobacco.
19,Piper_TheAnswer,nuclear bomb test,S,I never thought I d run another nuclear bomb test as long as I lived.
20,Piper_TheAnswer,lee pitov,NT,Lee Pitov was shocked.
21,Piper_TheAnswer,mustn,NT,You mustn t call it that.
22,Piper_TheAnswer,experiment,NT,It s purely a scientific experiment.
23,Piper_TheAnswer,wasn experiment 1969,NT,Wasn t that all any of them were We made lots of experiments like this back before 1969.
24,Piper_TheAnswer,memory test everest mushroom,S,The memories of all those other tests each ending in an Everest high mushroom column rose in his mind.
25,Piper_TheAnswer,soviet union blast rubble hemisphere billion,NT,And the end result the United States and the Soviet Union blasted to rubble a whole hemisphere pushed back into the Dark Ages a quarter of a billion dead.
26,Piper_TheAnswer,slim blonde dog odessa alexis pitov,NT,Including a slim woman with graying blonde hair and a little red dog and a girl from Odessa whom Alexis Pitov had been going to marry.
27,Piper_TheAnswer,forgive alexis,NT,Forgive me Alexis.
28,Piper_TheAnswer,tonight,NT,I suppose it s this shot we re going to make tonight.
29,Piper_TheAnswer,auburn bomb,S,Before the Auburn Bomb.
30,Piper_TheAnswer,_instituto argentino ciencia fisica_ unmentioned,NT,In all the years they d worked together at the _Instituto Argentino de Ciencia Fisica_ that had been unmentioned between them.
31,Piper_TheAnswer,hanged cutthroat,NT,The families of hanged cutthroats avoid mention of ropes and knives.
32,Piper_TheAnswer,fashioned american pipe,NT,He thumbed the old fashioned American lighter and held it to his pipe.
33,Piper_TheAnswer,veranda pitov,NT,Across the veranda in the darkness he knew that Pitov was looking intently at him.
34,Piper_TheAnswer,lately russian timidly dream,NT,You ve been thinking about that lately haven t you the Russian asked and then timidly Was that what you were dreaming of Oh no thank heaven I think about it too always.
35,Piper_TheAnswer,tonight,NT,A little closer than we ll be to this shot tonight.
36,Piper_TheAnswer,investigation auburn york washington detroit mobile san francisco,S,I was in charge of the investigation at Auburn until we had New York and Washington and Detroit and Mobile and San Francisco to worry about.
37,Piper_TheAnswer,auburn wasn,NT,Then what had happened to Auburn wasn t important any more.
38,Piper_TheAnswer,nation,NT,We were trying to get evidence to lay before the United Nations.
39,Piper_TheAnswer,nation,NT,We kept at it for about twelve hours after the United Nations had ceased to exist.
40,Piper_TheAnswer,lee,NT,I could never understand about that Lee.
41,Piper_TheAnswer,government launch missile,S,But I know that my government did not launch that missile.
42,Piper_TheAnswer,kremlin,NT,During the first days after yours began coming in I talked to people who had been in the Kremlin at the time.
43,Piper_TheAnswer,klyzenko bombardment,NT,One had been in the presence of Klyzenko himself when the news of your bombardment arrived.
44,Piper_TheAnswer,klyzenko,NT,He said that Klyzenko was absolutely stunned.
45,Piper_TheAnswer,government preventive auburn york retaliation missile,NT,We always believed that your government decided upon a preventive surprise attack and picked out a town Auburn New York that had been hit by one of our first retaliation missiles and claimed that it had been hit first.
46,Piper_TheAnswer,auburn american missile launch,S,Auburn was hit an hour before the first American missile was launched.
47,Piper_TheAnswer,launch priority lee russian tremble earnestness,NT,We could never understand why you launched just that one and no more until after ours began landing on you why you threw away the advantage of surprise and priority of attack Because we didn t do it Lee The Russian s voice trembled with earnestness.
48,Piper_TheAnswer,government guilty,NT,After all that happened and all that you and I and the people you worked with and the people I worked with and your government and mine have been guilty of it would be a waste of breath for either of us to try to lie to the other about what happened fifteen years ago.
49,Piper_TheAnswer,pipe,NT,He drew slowly on his pipe.
50,Piper_TheAnswer,launch launch somebody,NT,But who launched it then It had to be launched by somebody.
51,Piper_TheAnswer,torment pitov,NT,Don t you think I ve been tormenting myself with that question for the last fifteen years Pitov demanded.
52,Piper_TheAnswer,soviet union dedicate overthrow soviet regime,NT,You know there were people inside the Soviet Union not many and they kept themselves well hidden who were dedicated to the overthrow of the Soviet regime.
53,Piper_TheAnswer,devastation obliteration northern hemisphere cheap communist,NT,They or some of them might have thought that the devastation of both our countries and the obliteration of civilization in the Northern Hemisphere would be a cheap price to pay for ending the rule of the Communist Party.
54,Piper_TheAnswer,icbm thermonuclear warhead,NT,Could they have built an ICBM with a thermonuclear warhead in secret he asked.
55,Piper_TheAnswer,fanatical nationalist europe iron mutual,NT,There were also fanatical nationalist groups in Europe both sides of the Iron Curtain who might have thought our mutual destruction would be worth the risks involved.
56,Piper_TheAnswer,china india,NT,There was China and India.
57,Piper_TheAnswer,tradition,NT,If your country and mine wiped each other out they could go back to the old ways and the old traditions.
58,Piper_TheAnswer,japan moslem,NT,Or Japan or the Moslem States.
59,Piper_TheAnswer,alexis,NT,In the end they all went down along with us but what criminal ever expects to fall We have too many suspects and the trail s too cold Alexis.
60,Piper_TheAnswer,rocket launch northern hemisphere,S,That rocket wouldn t have had to have been launched anywhere in the Northern Hemisphere.
61,Piper_TheAnswer,argentine _el coloso del norte_,NT,For instance our friends here in the Argentine have been doing very well by themselves since _El Coloso del Norte_ went down.
62,Piper_TheAnswer,australian bargain estate indie boer trek ox wagon,NT,And there were the Australians picking themselves up bargains in real estate in the East Indies at gun point and there were the Boers trekking north again in tanks instead of ox wagons.
63,Piper_TheAnswer,brazil implausible pretender braganza throne portuguese empire eastward,NT,And Brazil with a not too implausible pretender to the Braganza throne calling itself the Portuguese Empire and looking eastward.
64,Piper_TheAnswer,doctor lee richardson alexis petrovitch pitov test missile annihilation warhead,NT,And to complete the picture here were Professor Doctor Lee Richardson and Comrade Professor Alexis Petrovitch Pitov getting ready to test a missile with a matter annihilation warhead.
65,Piper_TheAnswer,wasn weapon,S,This thing just wasn t a weapon.
66,Piper_TheAnswer,jeep roadway bungalow radio _twenty,NT,A jeep came around the corner lighting the dark roadway between the bungalows its radio on and counting down _Twenty two minutes.
67,Piper_TheAnswer,fifty fifty fifty seven_ bungalow minus fifty,S,Twenty one fifty nine fifty eight fifty seven_ It came to a stop in front of their bungalow at exactly Minus Two Hours Twenty One Minutes Fifty Four Seconds.
68,Piper_TheAnswer,driver spanish doctor richardson doctor pitov,NT,The driver called out in Spanish Doctor Richardson Doctor Pitov Are you ready Yes ready.
69,Piper_TheAnswer,richardson reluctantly,NT,They both got to their feet Richardson pulling himself up reluctantly.
70,Piper_TheAnswer,harder,NT,The older you get the harder it is to leave a comfortable chair.
71,Piper_TheAnswer,colleague jeep area pampas blaze electric,NT,He settled himself beside his colleague and former enemy and the jeep started again rolling between the buildings of the living quarters area and out onto the long straight road across the pampas toward the distant blaze of electric lights.
72,Piper_TheAnswer,lately auburn bomb,NT,He wondered why he had been thinking so much lately about the Auburn Bomb.
73,Piper_TheAnswer,indignantly russia launch wasn tonight pitov,NT,He d questioned at times indignantly of course whether Russia had launched it but it wasn t until tonight until he had heard what Pitov had had to say that he seriously doubted it.
74,Piper_TheAnswer,pitov pitov missile launch russia,NT,Pitov wouldn t lie about it and Pitov would have been in a position to have known the truth if the missile had been launched from Russia.
75,Piper_TheAnswer,dam,NT,Then he stopped thinking about what was water or blood a long time over the dam.
76,Piper_TheAnswer,policeman launch extinguish respectively cigarette pipe jeep carload tourist launching,NT,The special policeman at the entrance to the launching site reminded them that they were both smoking when they extinguished respectively their cigarette and pipe he waved the jeep on and went back to his argument with a carload of tourists who wanted to get a good view of the launching.
77,Piper_TheAnswer,lee weapon pitov,S,There now Lee do you need anything else to convince you that this isn t a weapon project Pitov asked.
78,Piper_TheAnswer,identity,NT,I don t. You know I don t believe I ve had to show an identity card the whole time I ve been here.
79,Piper_TheAnswer,identity pitov,NT,I don t believe I have an identity card Pitov said.
80,Piper_TheAnswer,blaze mostly rocket,S,The lights blazed everywhere around them but mostly about the rocket that towered above everything else so thick that it seemed squat.
81,Piper_TheAnswer,gantry crane wreathe electric cable,S,The gantry cranes had been hauled away now and it stood alone but it was still wreathed in thick electric cables.
82,Piper_TheAnswer,buenos aire cable separation blastoff generator rocket magnetic collapse fifty kilo chunk negative proton proton fashioned bomb firecracker,S,They were pouring enough current into that thing to light half the street lights in Buenos Aires when the cables were blown free by separation charges at the blastoff the generators powered by the rocket engines had better be able to take over because if the magnetic field collapsed and that fifty kilo chunk of negative proton matter came in contact with natural positive proton matter an old fashioned H bomb would be a firecracker to what would happen.
83,Piper_TheAnswer,kilo pure mc2,NT,Just one hundred kilos of pure two hundred proof MC2.
84,Piper_TheAnswer,driver rocket dodging assort truck mobile,S,The driver took them around the rocket dodging assorted trucks and mobile machinery that were being hurried out of the way.
