SENTENCE,DETAILS
 The Moon Pool A. MERRITT Foreword The publication of the following narrative of Dr. Walter T. Goodwin has been authorized by the Executive Council of the International Association of Science.,Moon<<NNP>> Pool<<NNP>> A.<<NNP>> MERRITT<<NNP>> Foreword<<NNP>> publication<<NN>> following<<JJ>> narrative<<NN>> Dr.<<NNP>> Walter<<NNP>> T.<<NNP>> Goodwin<<NNP>> has<<VBZ>> been<<VBN>> authorized<<VBN>> Executive<<NNP>> Council<<NNP>> International<<NNP>> Association<<NNP>> Science<<NNP>>
"First: To end officially what is beginning to be called the Throckmartin Mystery and to kill the innuendo and scandalous suspicions which have threatened to stain the reputations of Dr. David Throckmartin, his youthful wife, and equally youthful associate Dr. Charles Stanton ever since a tardy despatch from Melbourne, Australia, reported the disappearance of the first from a ship sailing to that port, and the subsequent reports of the disappearance of his wife and associate from the camp of their expedition in the Caroline Islands.",First<<RB>> end<<VB>> officially<<RB>> is<<VBZ>> beginning<<VBG>> be<<VB>> called<<VBN>> Throckmartin<<NNP>> Mystery<<NNP>> kill<<VB>> innuendo<<NN>> scandalous<<JJ>> suspicions<<NNS>> have<<VBP>> threatened<<VBN>> stain<<VB>> reputations<<NNS>> Dr.<<NNP>> David<<NNP>> Throckmartin<<NNP>> youthful<<JJ>> wife<<NN>> equally<<RB>> youthful<<JJ>> associate<<JJ>> Dr.<<NNP>> Charles<<NNP>> Stanton<<NNP>> ever<<RB>> tardy<<JJ>> despatch<<NN>> Melbourne<<NNP>> Australia<<NNP>> reported<<VBD>> disappearance<<NN>> first<<JJ>> ship<<NN>> sailing<<VBG>> port<<NN>> subsequent<<JJ>> reports<<NNS>> disappearance<<NN>> wife<<NN>> associate<<NN>> camp<<NN>> expedition<<NN>> Caroline<<NNP>> Islands<<NNP>>
"Second: Because the Executive Council have concluded that Dr. Goodwin's experiences in his wholly heroic effort to save the three, and the lessons and warnings within those experiences, are too important to humanity as a whole to be hidden away in scientific papers understandable only to the technically educated; or to be presented through the newspaper press in the abridged and fragmentary form which the space limitations of that vehicle make necessary.",Second<<JJ>> Executive<<NNP>> Council<<NNP>> have<<VBP>> concluded<<VBN>> Dr.<<NNP>> Goodwin<<NNP>> 's<<POS>> experiences<<NNS>> wholly<<RB>> heroic<<JJ>> effort<<NN>> save<<VB>> three<<CD>> lessons<<NNS>> warnings<<NNS>> experiences<<NNS>> are<<VBP>> too<<RB>> important<<JJ>> humanity<<NN>> whole<<NN>> be<<VB>> hidden<<VBN>> away<<RB>> scientific<<JJ>> papers<<NNS>> understandable<<JJ>> only<<RB>> technically<<RB>> educated<<VBN>> be<<VB>> presented<<VBN>> newspaper<<NN>> press<<NN>> abridged<<NN>> fragmentary<<JJ>> form<<NN>> space<<NN>> limitations<<NNS>> vehicle<<NN>> make<<VBP>> necessary<<JJ>>
"For these reasons the Executive Council commissioned Mr. A. Merritt to transcribe into form to be readily understood by the layman the stenographic notes of Dr. Goodwin's own report to the Council, supplemented by further oral reminiscences and comments by Dr. Goodwin; this transcription, edited and censored by the Executive Council of the Association, forms the contents of this book.",reasons<<NNS>> Executive<<NNP>> Council<<NNP>> commissioned<<VBD>> Mr.<<NNP>> A.<<NNP>> Merritt<<NNP>> transcribe<<VB>> form<<NN>> be<<VB>> readily<<RB>> understood<<VBN>> layman<<NN>> stenographic<<JJ>> notes<<NNS>> Dr.<<NNP>> Goodwin<<NNP>> 's<<POS>> own<<JJ>> report<<NN>> Council<<NNP>> supplemented<<VBN>> further<<JJ>> oral<<JJ>> reminiscences<<NNS>> comments<<NNS>> Dr.<<NNP>> Goodwin<<NNP>> transcription<<NN>> edited<<VBN>> censored<<VBN>> Executive<<NNP>> Council<<NNP>> Association<<NNP>> forms<<VBZ>> contents<<NNS>> book<<NN>>
"Himself a member of the Council, Dr. Walter T. Goodwin, Ph.D., F.R.G.S.",member<<NN>> Council<<NNP>> Dr.<<NNP>> Walter<<NNP>> T.<<NNP>> Goodwin<<NNP>> Ph.D.<<NNP>> F.R.G.S<<NNP>>
"etc., is without cavil the foremost of American botanists, an observer of international reputation and the author of several epochal treaties upon his chosen branch of science.",etc.<<NN>> is<<VBZ>> cavil<<VBG>> foremost<<NN>> American<<JJ>> botanists<<NNS>> observer<<NN>> international<<JJ>> reputation<<NN>> author<<NN>> several<<JJ>> epochal<<JJ>> treaties<<NNS>> chosen<<NN>> branch<<NN>> science<<NN>>
"His story, amazing in the best sense of that word as it may be, is fully supported by proofs brought forward by him and accepted by the organization of which I have the honor to be president.",story<<NN>> amazing<<VBG>> best<<JJS>> sense<<NN>> word<<NN>> may<<MD>> be<<VB>> is<<VBZ>> fully<<RB>> supported<<VBN>> proofs<<NN>> brought<<VBN>> forward<<RB>> accepted<<VBN>> organization<<NN>> have<<VBP>> honor<<NN>> be<<VB>> president<<NN>>
"What matter has been elided from this popular presentation--because of the excessively menacing potentialities it contains, which unrestricted dissemination might develop--will be dealt with in purely scientific pamphlets of carefully guarded circulation.",matter<<NN>> has<<VBZ>> been<<VBN>> elided<<VBN>> popular<<JJ>> presentation<<NN>> excessively<<RB>> menacing<<VBG>> potentialities<<NNS>> contains<<VBZ>> unrestricted<<VBD>> dissemination<<NN>> might<<MD>> develop<<VB>> will<<MD>> be<<VB>> dealt<<VBN>> purely<<RB>> scientific<<JJ>> pamphlets<<NNS>> carefully<<RB>> guarded<<VBN>> circulation<<NN>>
THE INTERNATIONAL ASSOCIATION OF SCIENCE Per J.,INTERNATIONAL<<NNP>> ASSOCIATION<<NNP>> OF<<NNP>> SCIENCE<<NNP>> Per<<NNP>> J<<NNP>>
"B. K., President CHAPTER I The Thing on the Moon Path For two months I had been on the d'Entrecasteaux Islands gathering data for the concluding chapters of my book upon the flora of the volcanic islands of the South Pacific.",B.<<NNP>> K.<<NNP>> President<<NNP>> CHAPTER<<NNP>> Thing<<VBG>> Moon<<NNP>> Path<<NNP>> two<<CD>> months<<NNS>> had<<VBD>> been<<VBN>> d'Entrecasteaux<<JJ>> Islands<<NNP>> gathering<<NN>> data<<NNS>> concluding<<VBG>> chapters<<NNS>> book<<NN>> flora<<NN>> volcanic<<JJ>> islands<<NNS>> South<<NNP>> Pacific<<NNP>>
